Alg,N,Time(sec),GFLOPS
ijk,800,0.59,1.75
ikj,800,0.22,4.61
jik,800,0.57,1.78
jki,800,0.69,1.49
kij,800,0.30,3.37
kji,800,0.69,1.49
i2kj,800,0.17,6.02
ik2j,800,0.16,6.32
ikj2,800,0.22,4.72
k2ij,800,0.15,6.65
ki2j,800,0.23,4.49
kij2,800,0.22,4.57
ik4j,800,0.15,6.61
ik8j,800,0.15,6.61
ik16j,800,0.16,6.24
ijk_block2,800,0.30,3.45
ijk_block4,800,0.29,3.47
ijk_block5,800,0.36,2.83
ijk_block10,800,0.27,3.86
ijk_block20,800,0.28,3.70
ijk_block50,800,0.36,2.85
ikj_block2,800,0.32,3.22
ikj_block4,800,0.42,2.41
ikj_block5,800,0.33,3.08
ikj_block10,800,0.22,4.70
ikj_block20,800,0.21,4.90
ikj_block50,800,0.30,3.44
k4ij,800,0.15,6.83
k8ij,800,0.15,6.92
k16ij,800,0.16,6.52
ijk,900,0.83,1.76
ikj,900,0.31,4.69
jik,900,0.82,1.78
jki,900,0.96,1.52
kij,900,0.43,3.39
kji,900,0.96,1.52
i2kj,900,0.24,6.02
ik2j,900,0.23,6.31
ikj2,900,0.31,4.72
k2ij,900,0.22,6.69
ki2j,900,0.32,4.51
kij2,900,0.32,4.57
ik4j,900,0.22,6.51
ik8j,900,0.22,6.51
ik16j,900,0.23,6.20
ijk_block2,900,0.42,3.44
ijk_block4,900,0.42,3.45
ijk_block5,900,0.52,2.80
ijk_block10,900,0.38,3.80
ijk_block20,900,0.40,3.65
ijk_block50,900,0.51,2.86
ikj_block2,900,0.45,3.23
ikj_block4,900,0.61,2.41
ikj_block5,900,0.47,3.08
ikj_block10,900,0.31,4.72
ikj_block20,900,0.30,4.89
ikj_block50,900,0.43,3.42
k4ij,900,0.21,6.85
k8ij,900,0.21,6.85
k16ij,900,0.22,6.54
ijk,1000,1.14,1.75
ikj,1000,0.43,4.62
jik,1000,1.13,1.78
jki,1000,1.31,1.52
kij,1000,0.59,3.39
kji,1000,1.31,1.52
i2kj,1000,0.33,6.02
ik2j,1000,0.32,6.21
ikj2,1000,0.42,4.73
k2ij,1000,0.30,6.67
ki2j,1000,0.44,4.49
kij2,1000,0.44,4.58
ik4j,1000,0.30,6.58
ik8j,1000,0.30,6.58
ik16j,1000,0.32,6.27
ijk_block2,1000,0.58,3.44
ijk_block4,1000,0.58,3.42
ijk_block5,1000,0.72,2.78
ijk_block10,1000,0.52,3.83
ijk_block20,1000,0.55,3.63
ijk_block50,1000,0.71,2.81
ikj_block2,1000,0.62,3.23
ikj_block4,1000,0.83,2.41
ikj_block5,1000,0.65,3.08
ikj_block10,1000,0.42,4.71
ikj_block20,1000,0.41,4.83
ikj_block50,1000,0.58,3.42
k4ij,1000,0.29,6.83
k8ij,1000,0.29,6.90
k16ij,1000,0.31,6.51
ijk,1100,1.53,1.74
ikj,1100,0.57,4.71
jik,1100,1.50,1.77
jki,1100,1.75,1.52
kij,1100,0.79,3.39
kji,1100,1.75,1.52
i2kj,1100,0.44,6.02
ik2j,1100,0.42,6.32
ikj2,1100,0.57,4.69
k2ij,1100,0.40,6.67
ki2j,1100,0.59,4.53
kij2,1100,0.58,4.60
ik4j,1100,0.41,6.57
ik8j,1100,0.40,6.62
ik16j,1100,0.42,6.34
ijk_block2,1100,0.77,3.45
ijk_block4,1100,0.78,3.40
ijk_block5,1100,0.94,2.82
ijk_block10,1100,0.69,3.85
ijk_block20,1100,0.73,3.62
ijk_block50,1100,0.95,2.81
ikj_block2,1100,0.83,3.22
ikj_block4,1100,1.10,2.41
ikj_block5,1100,0.86,3.08
ikj_block10,1100,0.56,4.72
ikj_block20,1100,0.54,4.89
ikj_block50,1100,0.78,3.40
k4ij,1100,0.39,6.84
k8ij,1100,0.39,6.88
k16ij,1100,0.41,6.48
ijk,1200,1.99,1.74
ikj,1200,0.74,4.65
jik,1200,1.96,1.76
