Alg,N,Time(sec),GFLOPS
ikj2,1700,2.19,4.48
ki2j,1700,2.22,4.42
kij2,1700,2.26,4.34
ijk_block2,1700,3.08,3.19
ijk_block4,1700,3.56,2.76
ijk,1800,8.33,1.40
ikj,1800,3.05,3.82
jik,1800,6.91,1.69
jki,1800,8.55,1.36
kij,1800,3.67,3.18
kji,1800,8.59,1.36
i2kj,1800,2.12,5.50
ikj2,1800,2.86,4.08
ki2j,1800,2.70,4.32
kij2,1800,2.91,4.01
ijk_block2,1800,3.68,3.17
ijk_block4,1800,4.31,2.70
ijk,1900,10.97,1.25
ikj,1900,3.57,3.84
jik,1900,8.35,1.64
jki,1900,10.73,1.28
kij,1900,4.32,3.18
kji,1900,11.17,1.23
i2kj,1900,2.54,5.41
ikj2,1900,3.37,4.08
ki2j,1900,3.14,4.36
kij2,1900,3.25,4.22
ijk_block2,1900,4.38,3.13
ijk_block4,1900,5.27,2.61
ijk,2000,15.68,1.02
ikj,2000,4.00,4.00
jik,2000,9.77,1.64
jki,2000,14.25,1.12
kij,2000,5.16,3.10
kji,2000,14.31,1.12
i2kj,2000,3.17,5.05
ikj2,2000,4.22,3.79
ki2j,2000,4.00,4.00
kij2,2000,4.21,3.80
ijk_block2,2000,4.85,3.30
ijk_block4,2000,6.04,2.65
ijk,2100,16.63,1.11
ikj,2100,4.98,3.72
jik,2100,11.65,1.59
jki,2100,18.08,1.02
kij,2100,6.52,2.84
kji,2100,20.54,0.90
i2kj,2100,4.03,4.59
ikj2,2100,4.92,3.76
ki2j,2100,4.56,4.06
kij2,2100,5.18,3.58
ijk_block2,2100,6.04,3.07
ijk_block4,2100,7.28,2.54
ijk,2200,20.65,1.03
ikj,2200,6.55,3.25
jik,2200,13.54,1.57
jki,2200,22.29,0.96
kij,2200,8.06,2.64
kji,2200,22.16,0.96
i2kj,2200,4.72,4.51
ikj2,2200,6.17,3.45
ki2j,2200,5.61,3.80
kij2,2200,7.64,2.79
ijk_block2,2200,7.02,3.04
ijk_block4,2200,8.27,2.57
ijk,2300,26.46,0.92
ikj,2300,8.06,3.02
jik,2300,15.74,1.55
jki,2300,27.85,0.87
kij,2300,9.69,2.51
kji,2300,26.35,0.92
i2kj,2300,5.68,4.28
ikj2,2300,8.06,3.02
ki2j,2300,7.37,3.30
kij2,2300,9.01,2.70
ijk_block2,2300,7.86,3.10
ijk_block4,2300,8.16,2.98
ijk,2400,30.39,0.91
ikj,2400,8.96,3.09
jik,2400,17.92,1.54
jki,2400,31.93,0.87
kij,2400,11.25,2.46
kji,2400,31.23,0.89
i2kj,2400,6.47,4.27
ikj2,2400,8.42,3.28
ki2j,2400,8.17,3.39
kij2,2400,10.46,2.64
ijk_block2,2400,9.18,3.01
ijk_block4,2400,12.07,2.29
ikj_block2,200,0.00,4.01
ikj_block4,200,0.01,2.29
ikj_block2,300,0.01,3.60
ikj_block4,300,0.02,2.45
ikj_block2,400,0.04,3.37
ikj_block4,400,0.05,2.46
ikj_block2,500,0.07,3.62
ikj_block4,500,0.10,2.43
ikj_block2,600,0.12,3.63
ikj_block4,600,0.18,2.45
ikj_block2,700,0.19,3.63
ikj_block4,700,0.28,2.45
ikj_block2,800,0.28,3.62
ikj_block4,800,0.43,2.37
ikj_block2,900,0.42,3.47
ikj_block4,900,0.61,2.39
ikj_block2,1000,0.58,3.47
ikj_block4,1000,0.85,2.36
ikj_block2,1100,0.75,3.54
ikj_block4,1100,1.11,2.39
ikj_block2,1200,0.98,3.53
ikj_block4,1200,1.46,2.36
ikj_block2,1300,1.26,3.49
ikj_block4,1300,1.84,2.39
ikj_block2,1400,1.57,3.50
ikj_block4,1400,2.22,2.47
ikj_block2,1500,1.83,3.68
ikj_block4,1500,2.73,2.47
ikj_block2,1600,2.23,3.68
ikj_block4,1600,3.32,2.47
ikj_block2,1700,2.68,3.67
ikj_block4,1700,3.98,2.47
ikj_block2,1800,3.21,3.63
ikj_block4,1800,4.73,2.47
ikj_block2,1900,3.79,3.62
ikj_block4,1900,5.56,2.47
ikj_block2,2000,4.47,3.58
ikj_block4,2000,6.50,2.46
ikj_block2,2100,5.27,3.51
ikj_block4,2100,7.52,2.46
ikj_block2,2200,6.18,3.45
ikj_block4,2200,8.66,2.46
ikj_block2,2300,7.16,3.40
ikj_block4,2300,9.94,2.45
ikj_block2,2400,8.26,3.35
ikj_block4,2400,11.26,2.45
ijk_block5,200,0.00,3.20
ijk_block10,200,0.01,2.67
ijk_block20,200,0.00,4.00
ikj_block5,200,0.01,2.67
ikj_block10,200,0.01,3.20
ikj_block20,200,0.01,3.20
ijk_block5,300,0.02,3.00
ijk_block10,300,0.02,3.00
ijk_block20,300,0.02,3.60
ikj_block5,300,0.02,3.18
ikj_block10,300,0.02,3.18
ikj_block20,300,0.02,3.18
ijk_block5,400,0.04,2.98
ijk_block10,400,0.04,3.05
ijk_block20,400,0.03,3.66
ikj_block5,400,0.04,3.12
ikj_block10,400,0.04,3.05
ikj_block20,400,0.04,3.12
ijk_block5,500,0.09,2.91
ijk_block10,500,0.10,2.63
ijk_block20,500,0.07,3.57
ikj_block5,500,0.08,3.12
ikj_block10,500,0.08,3.12
ikj_block20,500,0.08,3.21
ijk_block5,600,0.15,2.94
ijk_block10,600,0.14,3.02
ijk_block20,600,0.12,3.63
ikj_block5,600,0.14,3.13
ikj_block10,600,0.14,3.11
ikj_block20,600,0.13,3.22
ijk_block5,700,0.23,2.94
ijk_block10,700,0.23,3.02
ijk_block20,700,0.19,3.65
ikj_block5,700,0.22,3.15
ikj_block10,700,0.22,3.12
ikj_block20,700,0.21,3.21
ijk_block5,800,0.35,2.95
ijk_block10,800,0.34,3.01
ijk_block20,800,0.29,3.57
ikj_block5,800,0.33,3.14
ikj_block10,800,0.33,3.11
ikj_block20,800,0.32,3.21
ijk_block5,900,0.50,2.92
ijk_block10,900,0.49,3.00
ijk_block20,900,0.41,3.55
ikj_block5,900,0.47,3.12
ikj_block10,900,0.47,3.11
ikj_block20,900,0.52,2.78
ijk_block5,1000,0.68,2.95
ijk_block10,1000,0.67,2.98
ijk_block20,1000,0.55,3.60
ikj_block5,1000,0.64,3.13
ikj_block10,1000,0.64,3.11
ikj_block20,1000,0.62,3.21
ijk_block5,1100,0.90,2.94
ijk_block10,1100,0.91,2.93
ijk_block20,1100,0.74,3.58
ikj_block5,1100,0.85,3.13
ikj_block10,1100,0.86,3.11
ikj_block20,1100,0.83,3.21
ijk_block5,1200,1.18,2.92
ijk_block10,1200,1.20,2.88
ijk_block20,1200,0.97,3.55
ikj_block5,1200,1.10,3.14
ikj_block10,1200,1.11,3.11
ikj_block20,1200,1.08,3.20
ijk_block5,1300,1.50,2.93
ijk_block10,1300,1.50,2.93
ijk_block20,1300,1.28,3.42
ikj_block5,1300,1.41,3.13
ikj_block10,1300,1.41,3.11
ikj_block20,1300,1.37,3.20
ijk_block5,1400,1.92,2.86
ijk_block10,1400,1.95,2.81
ijk_block20,1400,1.66,3.30
ikj_block5,1400,1.75,3.13
ikj_block10,1400,1.77,3.10
ikj_block20,1400,1.72,3.19
ijk_block5,1500,2.42,2.79
