Alg,N,Time(sec),GFLOPS
optimized_k10ij,1300,0.23,19.27
optimized_k10ij,1400,0.28,19.26
optimized_k10ij,1500,0.35,19.45
optimized_k10ij,1600,0.42,19.37
optimized_k10ij,1700,0.51,19.38
optimized_k10ij,1800,0.61,19.12
optimized_k10ij,1900,0.72,19.06
optimized_k10ij,2000,0.86,18.59
optimized_k10ij,2100,1.02,18.20
optimized_k10ij,2200,1.20,17.78
optimized_k10ij,2300,1.43,16.99
optimized_k10ij,2400,1.62,17.05
optimized_k10ij,2500,1.81,17.27
